
16:35:56,0%,0%,12.51W,12.5%
16:35:57,0%,0%,13.36W,11.7%
16:35:58,0%,0%,13.38W,16.9%
16:35:59,0%,0%,12.95W,6.5%
16:36:00,0%,0%,13.07W,0.9%
16:36:01,0%,0%,13.02W,0.8%
16:36:02,0%,0%,13.11W,3.1%
16:36:04,0%,0%,12.90W,2.6%
16:36:05,0%,0%,57.75W,3.6%
16:36:06,0%,0%,59.78W,3.5%
16:36:07,5%,3%,84.65W,3.0%
16:36:08,0%,0%,86.49W,3.3%
16:36:09,0%,0%,64.04W,2.6%
16:36:10,0%,0%,60.24W,2.9%
16:36:11,0%,0%,60.13W,2.1%
16:36:12,0%,0%,60.02W,2.9%
16:36:13,0%,0%,59.49W,10.9%
16:36:14,0%,0%,59.34W,7.6%
16:36:15,0%,0%,59.84W,5.0%
16:36:16,0%,0%,60.13W,2.7%
16:36:17,89%,17%,352.82W,2.0%
16:36:18,93%,19%,314.23W,0.9%
16:36:19,76%,41%,291.31W,1.0%
16:36:21,63%,27%,262.61W,1.3%
16:36:22,49%,21%,354.63W,0.9%
16:36:23,73%,28%,347.14W,1.2%
16:36:24,26%,5%,286.87W,1.6%
16:36:25,43%,17%,330.64W,5.0%
16:36:26,80%,27%,165.68W,5.3%
16:36:27,73%,34%,325.69W,4.6%
16:36:28,12%,0%,226.19W,4.0%
16:36:29,5%,0%,315.00W,4.2%
16:36:30,7%,0%,225.30W,4.5%
16:36:31,72%,34%,316.52W,4.3%
16:36:32,57%,23%,252.75W,4.0%
16:36:33,0%,0%,229.75W,5.0%
16:36:34,61%,11%,315.34W,11.2%
16:36:35,74%,21%,308.32W,10.4%
16:36:36,66%,28%,323.66W,7.5%
16:36:37,5%,0%,246.99W,3.4%
16:36:38,27%,12%,305.14W,3.0%
16:36:40,63%,26%,275.92W,1.2%
16:36:41,5%,0%,279.86W,1.2%
16:36:42,60%,23%,273.58W,1.0%
16:36:43,53%,18%,333.46W,1.1%
16:36:44,91%,16%,195.45W,1.1%
16:36:45,69%,30%,289.23W,0.9%
16:36:46,4%,0%,208.60W,1.3%
16:36:47,58%,22%,319.44W,0.9%
16:36:48,69%,33%,337.92W,4.6%
16:36:49,69%,34%,384.94W,3.1%
16:36:50,72%,41%,372.53W,3.1%
16:36:51,85%,56%,393.42W,3.6%
